Tahun Hijriah,Tahun Masehi,,Awal Tahun Batak,Durasi (Bulan)
1407,1987,1988,5/30/87,12
1408,1988,1989,5/18/88,13
1409,1989,1990,6/5/89,12
1410,1990,1991,5/26/90,13
1411,1991,1992,6/14/91,12
1412,1992,1993,6/2/92,12
1413,1993,1994,5/23/93,13
1414,1994,1995,6/10/94,12
1416,1995,1996,5/31/95,12
1417,1996,1997,5/19/96,13
1418,1997,1998,6/7/97,12
1419,1998,1999,5/27/98,13
1420,1999,2000,6/15/99,12
1421,2000,2001,6/4/00,12
1422,2001,2002,5/24/01,13
1423,2002,2003,6/11/02,12
1424,2003,2004,6/1/03,12
1425,2004,2005,5/20/04,13
1426,2005,2006,6/7/05,12
1427,2006,2007,5/28/06,12
1428,2007,2008,5/18/07,13
1429,2008,2009,6/6/08,12
1430,2009,2010,5/26/09,13
1431,2010,2011,6/13/10,12
1432,2011,2012,6/3/11,12
1433,2012,2013,5/22/12,13
1434,2013,2014,6/9/13,12
1435,2014,2015,5/31/14,12
1436,2015,2016,5/20/15,13
1437,2016,2017,6/7/16,12
1438,2017,2018,5/27/17,13
1439,2018,2019,6/15/18,12
1440,2019,2020,6/4/19,12
1441,2020,2021,5/24/20,13
1442,2021,2022,6/11/21,12
1443,2022,2023,6/1/22,12
1444,2023,2024,5/21/23,13
1445,2024,2025,6/7/24,12
1446,2025,2026,5/28/25,12
1447,2026,2027,5/18/26,13
1448,2027,2028,6/6/27,12
1449,2028,2029,5/25/28,13
1450,2029,2030,6/13/29,12
1452,2030,2031,6/2/30,12
1453,2031,2032,5/22/31,13
1454,2032,2033,6/9/32,12
1455,2033,2034,5/30/33,12
1456,2034,2035,5/19/34,13
1457,2035,2036,6/7/35,12
1458,2036,2037,5/27/36,13
1459,2037,2038,6/15/37,12